
Purchase Report
----------------------------------------------------------------------------------------------------------------
Name                     Title                                                                            Price
Zephr Dean               The City of Ember                                                                $7.98
Imogene Jimenez          The Client                                                                       $6.68
Lane Kidd                The Colour of Magic                                                              $2.50
Zia Hansen               The Crucible                                                                     $3.13
Fritz Snider             The Cuckoo's Calling                                                             $0.14
Nathan Golden            The Curious Incident of the Dog in the Night-Time                                $2.71
Wing Richardson          The Elite                                                                        $1.83
Fuller Whitley           The Eye of the World                                                             $2.02
Thor Clarke              The Goldfinch                                                                    $9.81
Shelley Kidd             The Grapes of Wrath                                                              $8.30
Imogene Jimenez          The Host                                                                         $2.83
Jescie Mcbride           The Host                                                                         $2.15
Kareem Robertson         The Immortal Life of Henrietta Lacks                                             $6.40
Patrick Snider           The Lion, the Witch and the Wardrobe                                             $3.64
Cleo Lara                The Martian                                                                      $8.13
Iola Arnold              The Night Circus                                                                 $2.54
Akeem Clements           The Nightingale                                                                  $4.18
Jane Contreras           The Ocean at the End of the Lane                                                 $8.07
Ciara Merritt            The Pact                                                                         $5.68
Althea Clay              The Red Pyramid                                                                  $1.35
Karyn Irwin              The Return of the King                                                           $1.70
Fritz Snider             The Road                                                                         $6.40
Serena Wiley             The Stand                                                                        $7.78
Trevor Salinas           The Sun Also Rises                                                               $2.88
Montana Carr             The Tell-Tale Heart                                                              $6.85
Shelley Kidd             The Thorn Birds                                                                  $5.59
Trevor Salinas           The Tragedy of Macbeth                                                           $9.36
Len Wood                 The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story              $8.29
Abbot Stanley            The Undomestic Goddess                                                           $2.46
George Caldwell          The Wise Man's Fear                                                              $1.36
Malcolm Henry            Their Eyes Were Watching God                                                     $4.63
Nehru Donovan            Treasure Island                                                                  $4.42
Hakeem Shaffer           Twilight                                                                         $4.12
Ciara Merritt            Who Moved My Cheese?                                                             $7.96
Uma Garrison             Wicked: The Life and Times of the Wicked Witch of the West                       $8.93
Bradley Prince           Wild: From Lost to Found on the Pacific Crest Trail                              $1.36
Maggie Atkinson          Winnie-the-Pooh                                                                  $3.38
Jerome Hendrix           Wonder                                                                           $0.04
Audra Whitley            Yes Please                                                                       $7.41
Hakeem Shaffer           …trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager    $3.03
Xanthus Barnes           …trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager    $2.98
Lane Kidd                Пре�?тупление и наказание                                   $9.66
Ivy Dunn                 �?нна Каренина                                                        $0.83

